OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Hoxc5	Pbx1
Hoxc5	Pbx3
Hoxc5	Polr2i
Hoxc6	Pbx3
Hoxd1	Ldb1
Hoxd10	Pbx1
Hoxd10	Pbx2
Hoxd10	Pbx3
Hoxd10	Zfp292
Hoxd12	Pou6f1
Hoxd12	Rnps1
Hoxd12	Zfp292
Hoxd12	Polr2i
Hoxd12	Gtf2a1l
Hoxd12	Taf13
Hoxd12	Wwp1
Hoxd13	Sox15
Hoxd3	Meox2
Hoxd3	Cers2
Hoxd3	Tle6
Hoxd3	Csde1
Hoxd4	Pbx1
Hoxd4	Pbx3
Hoxd4	Polr2i
Hoxd9	Pbx3
Hoxd9	Zfp292
Hoxd9	Polr2i
Hr	Rorb
Elavl2	Tcf3
Id1	Myod1
Id1	Tcf12
Id1	Tcf4
Id1	Tlx3
Id2	Myod1
Id2	Rb1
Id2	Spi1
Ikbkg	Ncoa3
Ikbkg	Nfe2
Ikbkg	Tcf3
Ikbkg	Tnfaip3
Ikbkg	Tsg101
Ikbkg	Nfkbiz
Ikbkg	Maml1
Irf4	Tlx3
Irf9	Pou2f1
Irf9	Sox6
Irf9	Stat2
Irf9	Mixl1
Isl1	Ldb2
Isl1	Ssbp2
Jun	Mafb
Jun	Stat3
Junb	Batf
Junb	Batf3
Jund	Batf3
Mafb	Taf5
Ldb1	Lhx1
Ldb1	Lhx2
Ldb1	Lhx4
Ldb1	Lhx5
Ldb1	Lhx9
Ldb1	Lmo2
Ldb1	Lmo4
Ldb1	Lmx1b
Ldb1	Ssbp2
Ldb1	Zfp593
Ldb1	Pygo1
Ldb1	Ssbp3
Ldb1	Ssbp4
Ldb1	Isl2
Ldb1	Csdc2
Ldb1	Lmo3
Ldb1	Lmo1
Ldb1	Lmx1a
Ldb1	Tardbp
Ldb1	Tgif2lx1
Ldb1	Zfp446
Ldb2	Lhx1
Ldb2	Lhx2
Ldb2	Lhx4
Ldb2	Lhx5
Ldb2	Lhx9
Ldb2	Lmo2
Ldb2	Lmo4
Ldb2	Lmx1b
Ldb2	Ssbp2
Ldb2	Pygo1
