database	pathway	gene
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc6
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd10
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd11
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd12
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd13
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd14
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd6
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd7
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd8
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd9
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme2b
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmf1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Pttg1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Rps27a
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Uba52
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ubb
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ubc
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2c
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2d1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2e1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2s
REACTOME	Activation of ATR in response to replication stress	Atrip
REACTOME	Activation of ATR in response to replication stress	Cdc25a
REACTOME	Activation of ATR in response to replication stress	Cdc25c
REACTOME	Activation of ATR in response to replication stress	Cdc45
REACTOME	Activation of ATR in response to replication stress	Cdc6
REACTOME	Activation of ATR in response to replication stress	Cdc7
REACTOME	Activation of ATR in response to replication stress	Cdk2
REACTOME	Activation of ATR in response to replication stress	Chek1
REACTOME	Activation of ATR in response to replication stress	Clspn
REACTOME	Activation of ATR in response to replication stress	Dbf4
REACTOME	Activation of ATR in response to replication stress	Hus1
REACTOME	Activation of ATR in response to replication stress	Mcm10
REACTOME	Activation of ATR in response to replication stress	Mcm2
REACTOME	Activation of ATR in response to replication stress	Mcm3
REACTOME	Activation of ATR in response to replication stress	Mcm4
REACTOME	Activation of ATR in response to replication stress	Mcm5
REACTOME	Activation of ATR in response to replication stress	Mcm6
REACTOME	Activation of ATR in response to replication stress	Mcm7
REACTOME	Activation of ATR in response to replication stress	Mcm8
REACTOME	Activation of ATR in response to replication stress	Orc1
REACTOME	Activation of ATR in response to replication stress	Orc2
REACTOME	Activation of ATR in response to replication stress	Orc3
REACTOME	Activation of ATR in response to replication stress	Orc4
REACTOME	Activation of ATR in response to replication stress	Orc5
REACTOME	Activation of ATR in response to replication stress	Orc6
REACTOME	Activation of ATR in response to replication stress	Rad1
REACTOME	Activation of ATR in response to replication stress	Rad17
REACTOME	Activation of ATR in response to replication stress	Rad9a
REACTOME	Activation of ATR in response to replication stress	Rad9b
REACTOME	Activation of ATR in response to replication stress	Rfc2
REACTOME	Activation of ATR in response to replication stress	Rfc3
REACTOME	Activation of ATR in response to replication stress	Rfc4
REACTOME	Activation of ATR in response to replication stress	Rfc5
REACTOME	Activation of ATR in response to replication stress	Rpa1
REACTOME	Activation of ATR in response to replication stress	Rpa3
REACTOME	Activation of BAD and translocation to mitochondria	Bad
REACTOME	Activation of BAD and translocation to mitochondria	Bcl2
REACTOME	Activation of BAD and translocation to mitochondria	Bid
REACTOME	Activation of BAD and translocation to mitochondria	Ppp3cc
REACTOME	Activation of BAD and translocation to mitochondria	Ppp3r1
REACTOME	Activation of BAD and translocation to mitochondria	Sfn
REACTOME	Activation of BAD and translocation to mitochondria	Ywhab
REACTOME	Activation of BAD and translocation to mitochondria	Ywhae
REACTOME	Activation of BAD and translocation to mitochondria	Ywhag
REACTOME	Activation of BAD and translocation to mitochondria	Ywhah
REACTOME	Activation of BAD and translocation to mitochondria	Ywhaq
REACTOME	Activation of BAD and translocation to mitochondria	Ywhaz
REACTOME	Activation of BH3-only proteins	Bad
REACTOME	Activation of BH3-only proteins	Bcl2
REACTOME	Activation of BH3-only proteins	Bcl2l11
REACTOME	Activation of BH3-only proteins	Bid
REACTOME	Activation of BH3-only proteins	Bmf
REACTOME	Activation of BH3-only proteins	Dynll1
REACTOME	Activation of BH3-only proteins	Dynll2
REACTOME	Activation of BH3-only proteins	Mapk8
REACTOME	Activation of BH3-only proteins	Pmaip1
REACTOME	Activation of BH3-only proteins	Ppp3cc
REACTOME	Activation of BH3-only proteins	Ppp3r1
REACTOME	Activation of BH3-only proteins	Sfn
REACTOME	Activation of BH3-only proteins	Ywhab
