interactor_A	interactor_B	confidence_value
Itm2b	Atp1a3	0.34505215
Acsl1	Hspa5	0.34505215
Prkaa1	Hspa5	0.34505215
Mapk3	Hspa5	0.34505215
Slc2a4	Hspa5	0.34505215
Itm2b	Hspa5	0.34505215
Slc2a4	Anxa1	0.34505215
Slc2a4	Ctsl	0.34505215
Pgam2	Ckb	0.34505215
Itm2b	Atp1b1	0.34505215
Rad23b	Atp1b1	0.34505215
Acsl1	Ephx1	0.34505215
Itm2b	Mag	0.34505215
Slc2a4	Arg1	0.34505215
Slc2a4	Sod2	0.34505215
Slc2a4	Gstm7	0.34505215
Itm2b	Gja1	0.34505215
Dnm1l	Clta	0.34505215
Slc2a4	Clta	0.34505215
Itm2b	Clta	0.34505215
Itm2b	Cltb	0.34505215
Slc2a4	Dlat	0.34505215
Itm2b	Dlat	0.34505215
LOC103694380	App	0.34505215
Tnf	App	0.34505215
Itm2b	Kras	0.34505215
Prkaa1	Ass1	0.34505215
Kcnma1	Aldoc	0.34505215
Slc2a4	Prps2	0.34505215
Slc2a4	Prkar1a	0.34505215
Prkaa1	Tpm4	0.34505215
Itm2b	Tpm4	0.34505215
Prkaa1	Rab7a	0.34505215
Itm2b	Rab7a	0.34505215
Prkab1	Rab7a	0.34505215
Slc2a4	Rab7a	0.34505215
Itm2b	Glul	0.34505215
Dynll1	Glul	0.34505215
Acsl1	Pygl	0.34505215
Slc2a4	Rpl5	0.34505215
Prkaa1	Rpl5	0.34505215
Itm2b	Syn1	0.34505215
Kcnma1	Syn1	0.34505215
Rad23b	Uqcc3	0.34505215
Itm2b	Ppial4d	0.34505215
Itm2b	Ppia	0.34505215
Itm2b	Kcna1	0.34505215
Acsl1	Cyp2d2	0.34505215
Slc2a4	Ahcy	0.34505215
Itm2b	Gnai1	0.34505215
Dynll1	Glud1	0.34505215
Gck	Glud1	0.34505215
Prkab1	Glud1	0.34505215
Slc2a4	Glud1	0.34505215
Slc2a4	Cox4i1	0.34505215
Itm2b	Cox4i1	0.34505215
Itm2b	Slc2a1	0.34505215
Slc2a4	Cox5a	0.34505215
Itm2b	Cox5a	0.34505215
Hnrnpk	Raf1	0.34505215
Itm2b	Atp2b1	0.34505215
Itm2b	Atp2b2	0.34505215
Prkaa1	Atp2a2	0.34505215
Itm2b	Atp2a2	0.34505215
Slc2a4	Atp2a2	0.34505215
Prkab1	Atp2a2	0.34505215
LOC103694380	Atp2a2	0.34505215
Tnf	Atp2a2	0.34505215
Itm2b	LOC100134871	0.34505215
Itm2b	LOC103694857	0.34505215
Itm2b	Hbb-bs	0.34505215
Slc2a4	Camk2g	0.34505215
Itm2b	Camk2g	0.34505215
Slc2a4	Lgals1	0.34505215
Slc2a4	Aldh3a1	0.34505215
Itm2b	Cox6c	0.34505215
Prkaa1	Pkm	0.34505215
Itm2b	Pkm	0.34505215
Prkab1	Pkm	0.34505215
Slc2a4	Pkm	0.34505215
Itm2b	Cox5b	0.34505215
Itm2b	Tf	0.34505215
Slc2a4	Prkar2a	0.34505215
Gnao1	Prkar2b	0.34505215
Itm2b	Fasn	0.34505215
Prkab1	Npm1	0.34505215
Rad23b	Cnp	0.34505215
Itm2b	Cnp	0.34505215
Slc2a4	Etfa	0.34505215
Itm2b	Myl12a	0.34505215
Itm2b	Col3a1	0.34505215
LOC103694380	Col3a1	0.34505215
Tnf	Col3a1	0.34505215
Slc2a4	Fh	0.34505215
Slc2a4	Lamp1	0.34505215
Pi4kb	Lamp1	0.34505215
Slc2a4	LOC100911186	0.34505215
Slc2a4	Echs1	0.34505215
Prkab1	Dars	0.34505215
Slc2a4	Dars	0.34505215
Itm2b	Dars	0.34505215
Prkaa1	Dars	0.34505215
Prkaa1	Map1b	0.34505215
Prkab1	Map1b	0.34505215
Itm2b	Map1b	0.34505215
Dynll1	Map1b	0.34505215
Hnrnpk	Acadl	0.34505215
Slc2a4	Camk2d	0.34505215
Itm2b	Camk2d	0.34505215
Hnrnpk	H1f4	0.34505215
Camsap1	Sptan1	0.34505215
Prkaa1	Sptan1	0.34505215
Itm2b	Sptan1	0.34505215
Itm2b	Pgam2	0.34505215
Itm2b	Myl3	0.34505215
Pgam2	Pgk1	0.34505215
Itm2b	Pgk1	0.34505215
Slc2a4	Sparc	0.34505215
Slc2a4	Lamp2	0.34505215
Kcnma1	Rps19l2	0.34505215
Hnrnpk	Rps19l2	0.34505215
Slc2a4	Rps19l2	0.34505215
Itm2b	Rps19l2	0.34505215
Slc2a4	Rpl9	0.34505215
Slc2a4	LOC100360449	0.34505215
Slc2a4	LOC100364457	0.34505215
Prkaa1	Rpl9	0.34505215
Prkaa1	LOC100360449	0.34505215
Prkaa1	LOC100364457	0.34505215
Hnrnpk	Rpl9	0.34505215
Hnrnpk	LOC100360449	0.34505215
Hnrnpk	LOC100364457	0.34505215
Slc2a4	Psma2	0.34505215
Hnrnpk	Acat1	0.34505215
Slc2a4	Acat1	0.34505215
Slc2a4	Acsl1	0.34505215
Acsl1	Calr	0.34505215
Slc2a4	Calr	0.34505215
Slc2a4	Psma1	0.34505215
Itm2b	Csnk2a1	0.34505215
Slc2a4	Ndufv2	0.34505215
Itm2b	Ndufv2	0.34505215
Prkab1	LOC100911417	0.34505215
Prkab1	Atp5pb	0.34505215
Itm2b	LOC100911417	0.34505215
Itm2b	Atp5pb	0.34505215
Rad23b	LOC100911417	0.34505215
Rad23b	Atp5pb	0.34505215
Itm2b	Nefl	0.34505215
Itm2b	Gnaz	0.34505215
Slc2a4	Nme2	0.34505215
