database	pathway	gene
neighborhood	MORF_BCL2	SPEF1
neighborhood	MORF_BCL2	ESR1
neighborhood	MORF_BCL2	IRF2BP1
neighborhood	MORF_BCL2	SEZ6L
neighborhood	MORF_BCL2	PIGR
neighborhood	MORF_BCL2	DAPK2
neighborhood	MORF_BCL2	PCGF1
neighborhood	MORF_BCL2	LEFTY1
neighborhood	MORF_BCL2	ARL3
neighborhood	MORF_BCL2	KLHL18
neighborhood	MORF_BCL2	CRCP
neighborhood	MORF_BCL2	CNTN2
neighborhood	MORF_BCL2	ZNF710
neighborhood	MORF_BCL2	CYP2A6
neighborhood	MORF_BCL2	MOK
neighborhood	MORF_BCL2	UGT2B15
neighborhood	MORF_BCL2	TM4SF5
neighborhood	MORF_BCL2	LCOR
neighborhood	MORF_BCL2	TNFRSF25
neighborhood	MORF_BCL2	FRYL
neighborhood	MORF_BCL2	CAMK2G
neighborhood	MORF_BCL2	GPR3
neighborhood	MORF_BCL2	KRT1
neighborhood	MORF_BCL2	CDK13
neighborhood	MORF_BCL2	SH2B1
neighborhood	MORF_BCL2	MR1
neighborhood	MORF_BCL2	CD6
neighborhood	MORF_BCL2	BAHD1
neighborhood	MORF_BCL2	DPT
neighborhood	MORF_BCL2	DTX4
neighborhood	MORF_BCL2	LTK
neighborhood	MORF_BCL2	FLT1
neighborhood	MORF_BCL2	SLC12A4
neighborhood	MORF_BCL2	NFRKB
neighborhood	MORF_BCL2	FAM189A2
neighborhood	MORF_BCL2	NF1
neighborhood	MORF_BCL2	SLC6A9
neighborhood	MORF_BCL2	SLC6A7
neighborhood	MORF_BCL2	LSM12
neighborhood	MORF_BCL2	IRF2
neighborhood	MORF_BCL2	JAK3
neighborhood	MORF_BCL2	SLC18A1
neighborhood	MORF_BNIP1	PVR
neighborhood	MORF_BNIP1	ADCY3
neighborhood	MORF_BNIP1	BMP10
neighborhood	MORF_BNIP1	NRTN
neighborhood	MORF_BNIP1	S100A5
neighborhood	MORF_BNIP1	IL16
neighborhood	MORF_BNIP1	SYT5
neighborhood	MORF_BNIP1	LTBP4
neighborhood	MORF_BNIP1	FIG4
neighborhood	MORF_BNIP1	CYP2D6
neighborhood	MORF_BNIP1	GRIK5
neighborhood	MORF_BNIP1	AQP5
neighborhood	MORF_BNIP1	IL13
neighborhood	MORF_BNIP1	AQP7
neighborhood	MORF_BNIP1	TMEM11
neighborhood	MORF_BNIP1	FNTB
neighborhood	MORF_BNIP1	PPP1R1A
neighborhood	MORF_BNIP1	SLC2A1
neighborhood	MORF_BNIP1	ABCB10
neighborhood	MORF_BNIP1	PRKACA
neighborhood	MORF_BNIP1	SLC4A3
neighborhood	MORF_BNIP1	KRT86
neighborhood	MORF_BNIP1	KAT8
neighborhood	MORF_BNIP1	TENM4
neighborhood	MORF_BNIP1	SCAMP1
neighborhood	MORF_BNIP1	KRR1
neighborhood	MORF_BNIP1	SGPL1
neighborhood	MORF_BNIP1	ZNF592
neighborhood	MORF_BNIP1	IQCK
neighborhood	MORF_BNIP1	PIK3CB
neighborhood	MORF_BNIP1	SLC33A1
neighborhood	MORF_BNIP1	RREB1
neighborhood	MORF_BNIP1	HTR4
neighborhood	MORF_BNIP1	LIG3
neighborhood	MORF_BNIP1	RXRG
neighborhood	MORF_BNIP1	AOC4P
neighborhood	MORF_BNIP1	CYP2E1
neighborhood	MORF_BNIP1	TBC1D22A
neighborhood	MORF_BNIP1	ZNF500
neighborhood	MORF_BNIP1	CRHR1
neighborhood	MORF_BNIP1	PGM3
neighborhood	MORF_BNIP1	SSTR5
neighborhood	MORF_BNIP1	MSX1
neighborhood	MORF_BNIP1	HTR7
neighborhood	MORF_BNIP1	MLLT10
neighborhood	MORF_BNIP1	HOXD4
neighborhood	MORF_BNIP1	PIAS2
neighborhood	MORF_BNIP1	SURF2
neighborhood	MORF_BNIP1	ERC1
neighborhood	MORF_BNIP1	MAGEA9
neighborhood	MORF_BNIP1	EXTL3
neighborhood	MORF_BNIP1	CACNB1
neighborhood	MORF_BNIP1	CACNB2
neighborhood	MORF_BNIP1	MYO9B
neighborhood	MORF_BNIP1	KCNA5
neighborhood	MORF_BNIP1	STK17A
neighborhood	MORF_BNIP1	ARFGEF2
neighborhood	MORF_BNIP1	WT1
neighborhood	MORF_BNIP1	PRELID3A
neighborhood	MORF_BNIP1	EPHB2
neighborhood	MORF_BNIP1	NR2C1
neighborhood	MORF_BNIP1	ADCYAP1
neighborhood	MORF_BNIP1	JRK
neighborhood	MORF_BNIP1	TBXT
neighborhood	MORF_BNIP1	PPP1R3D
neighborhood	MORF_BNIP1	SULT4A1
neighborhood	MORF_BNIP1	DOCK1
neighborhood	MORF_BNIP1	TFDP2
neighborhood	MORF_BNIP1	HNF1A
neighborhood	MORF_BNIP1	SLC30A3
neighborhood	MORF_BNIP1	RAD51D
neighborhood	MORF_BNIP1	NXPE3
neighborhood	MORF_BNIP1	RUNX2
neighborhood	MORF_BNIP1	IVL
neighborhood	MORF_BNIP1	CTRL
neighborhood	MORF_BNIP1	CNKSR1
neighborhood	MORF_BNIP1	ABCB9
neighborhood	MORF_BNIP1	SLC6A11
neighborhood	MORF_BNIP1	ZBTB40
neighborhood	MORF_BNIP1	MYOZ3
neighborhood	MORF_BNIP1	BRCA1
neighborhood	MORF_BNIP1	IKBKE
neighborhood	MORF_BNIP1	PAXIP1
neighborhood	MORF_BNIP1	NR1I2
neighborhood	MORF_BNIP1	COX6A2
neighborhood	MORF_BNIP1	POP4
neighborhood	MORF_BNIP1	ABO
neighborhood	MORF_BNIP1	POU6F1
neighborhood	MORF_BNIP1	CCKAR
neighborhood	MORF_BNIP1	OSBP
neighborhood	MORF_BNIP1	SCAPER
neighborhood	MORF_BNIP1	SULT2B1
neighborhood	MORF_BNIP1	AMMECR1
neighborhood	MORF_BNIP1	WBP4
neighborhood	MORF_BNIP1	PTEN
neighborhood	MORF_BNIP1	GTSE1
neighborhood	MORF_BNIP1	KRT33A
neighborhood	MORF_BNIP1	NOS2
neighborhood	MORF_BNIP1	DNAJC16
neighborhood	MORF_BNIP1	BARX2
neighborhood	MORF_BNIP1	PLEKHB1
neighborhood	MORF_BNIP1	PAX9
neighborhood	MORF_BNIP1	DGCR5
neighborhood	MORF_BNIP1	PAX7
neighborhood	MORF_BNIP1	SERPINA4
neighborhood	MORF_BNIP1	PIGB
neighborhood	MORF_BNIP1	VKORC1
neighborhood	MORF_BNIP1	ATP8B1
neighborhood	MORF_BNIP1	ITIH4
neighborhood	MORF_BNIP1	GNPAT
neighborhood	MORF_BNIP1	MC5R
neighborhood	MORF_BNIP1	SLC22A6
neighborhood	MORF_BNIP1	NCKIPSD
neighborhood	MORF_BNIP1	TIE1
neighborhood	MORF_BNIP1	FOSL1
neighborhood	MORF_BNIP1	MSL3
neighborhood	MORF_BNIP1	NPFF
neighborhood	MORF_BNIP1	ZBTB22
neighborhood	MORF_BNIP1	IFT27
neighborhood	MORF_BNIP1	C1orf216
neighborhood	MORF_BNIP1	RAP2C
neighborhood	MORF_BNIP1	CYP11A1
neighborhood	MORF_BNIP1	GLE1
neighborhood	MORF_BNIP1	LPGAT1
neighborhood	MORF_BNIP1	GPR19
neighborhood	MORF_BNIP1	GPR18
neighborhood	MORF_BNIP1	ESR1
neighborhood	MORF_BNIP1	PSG1
neighborhood	MORF_BNIP1	ARL3
neighborhood	MORF_BNIP1	MFN1
neighborhood	MORF_BNIP1	KLHL18
neighborhood	MORF_BNIP1	BNIP1
neighborhood	MORF_BNIP1	ZNF134
neighborhood	MORF_BNIP1	GRIP2
neighborhood	MORF_BNIP1	CA4
neighborhood	MORF_BNIP1	MDM2
neighborhood	MORF_BNIP1	GPR15
neighborhood	MORF_BNIP1	CLOCK
neighborhood	MORF_BNIP1	ZBTB14
neighborhood	MORF_BNIP1	TBX19
neighborhood	MORF_BNIP1	HCRT
neighborhood	MORF_BNIP1	FRYL
neighborhood	MORF_BNIP1	POLR2K
neighborhood	MORF_BNIP1	TNFRSF25
