feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
LPE(16:0),0.2726250655782294,0.10948968115996978,0.2202004368310173,LPE,LPE 16:0,LPE 16:0,LPE 16:0/0:0,MOLECULAR_SPECIES,LPE,LPE(16:0)
LPE(16:1),0.2839637485279148,0.32899144737874225,0.4563701872612809,LPE,LPE 16:1,LPE 16:1,LPE 16:1/0:0,MOLECULAR_SPECIES,LPE,LPE(16:1)
LPE(18:0),0.13679623226846896,0.5100024992901995,0.6069880224513247,LPE,LPE 18:0,LPE 18:0,LPE 18:0/0:0,MOLECULAR_SPECIES,LPE,LPE(18:0)
LPE(18:1),0.06246551460556926,0.8579466456211717,0.897773956056197,LPE,LPE 18:1,LPE 18:1,LPE 18:1/0:0,MOLECULAR_SPECIES,LPE,LPE(18:1)
LPE(18:2),0.2430606778478908,0.4787457293095436,0.5863905496308492,LPE,LPE 18:2,LPE 18:2,LPE 18:2/0:0,MOLECULAR_SPECIES,LPE,LPE(18:2)
LPE(18:3),0.7346538326873358,0.1633121951393893,0.28779119729775116,LPE,LPE 18:3,LPE 18:3,LPE 18:3/0:0,MOLECULAR_SPECIES,LPE,LPE(18:3)
LPE(20:2),0.756729609533416,0.015889078930943344,0.07150265817508941,LPE,LPE 20:2,LPE 20:2,LPE 20:2/0:0,MOLECULAR_SPECIES,LPE,LPE(20:2)
LPE(20:3),-0.01565678637298311,0.42743292154130585,0.5415485024680246,LPE,LPE 20:3,LPE 20:3,LPE 20:3/0:0,MOLECULAR_SPECIES,LPE,LPE(20:3)
LPE(20:4),-0.10420144086696694,0.5689464383161278,0.6630339557408121,LPE,LPE 20:4,LPE 20:4,LPE 20:4/0:0,MOLECULAR_SPECIES,LPE,LPE(20:4)
LPE(22:4),0.6577516394729153,0.15617303801455654,0.2805462643929479,LPE,LPE 22:4,LPE 22:4,LPE 22:4/0:0,MOLECULAR_SPECIES,LPE,LPE(22:4)
LPE(22:5),-0.1277497464760925,0.5689031138364548,0.6630339557408121,LPE,LPE 22:5,LPE 22:5,LPE 22:5/0:0,MOLECULAR_SPECIES,LPE,LPE(22:5)
LPE(22:6),-0.4180384371636049,0.09164727247353634,0.1952014740479652,LPE,LPE 22:6,LPE 22:6,LPE 22:6/0:0,MOLECULAR_SPECIES,LPE,LPE(22:6)
LPE(24:2),0.6536129175645855,0.15660808104744967,0.2805462643929479,LPE,LPE 24:2,LPE 24:2,LPE 24:2/0:0,MOLECULAR_SPECIES,LPE,LPE(24:2)
LPE(O-16:0),0.9031638306368569,0.00666685377845999,0.04193916155984714,LPE O-,LPE O-16:0,LPE O-16:0,LPE O-16:0/0:0,MOLECULAR_SPECIES,LPE-O,LPE(O-16:0)
LPE(O-18:0),1.03658601323735,6.972260439631121e-4,0.014895135607079429,LPE O-,LPE O-18:0,LPE O-18:0,LPE O-18:0/0:0,MOLECULAR_SPECIES,LPE-O,LPE(O-18:0)
LPE(O-18:1),0.5501261620038327,0.023598268532407367,0.08804595362780956,LPE O-,LPE O-18:1,LPE O-18:1,LPE O-18:1/0:0,MOLECULAR_SPECIES,LPE-O,LPE(O-18:1)
LPE(O-20:3),0.6188874880344927,0.09310218054031962,0.19598552401678176,LPE O-,LPE O-20:3,LPE O-20:3,LPE O-20:3/0:0,MOLECULAR_SPECIES,LPE-O,LPE(O-20:3)
LPE(O-20:4),0.6882929316172897,0.006408449469539493,0.04193916155984714,LPE O-,LPE O-20:4,LPE O-20:4,LPE O-20:4/0:0,MOLECULAR_SPECIES,LPE-O,LPE(O-20:4)
LPE(O-22:6),0.5991137900787529,0.36645079290211724,0.4871004397052713,LPE O-,LPE O-22:6,LPE O-22:6,LPE O-22:6/0:0,MOLECULAR_SPECIES,LPE-O,LPE(O-22:6)
LPG(16:0),-0.9419639959306636,0.07578342654525977,0.17082847400410642,LPG,LPG 16:0,LPG 16:0,LPG 16:0/0:0,MOLECULAR_SPECIES,LPG,LPG(16:0)
